CRMA;LRRC15_CAF;Myeloid_DC;NonResponse_Ivy;TGFB_Mariathasan;ADO;APM_Thompson;APM_Wang;B_cell_Budczies;B_cell_Helmink;Blood_Response;CD8_Jiang;CD8_SF;CYT;IFNG;ImmuneCells;Inflammatory;IRG_Ayers;KDM5A;M1;Macrophage;PDL1;peri_Tcell;Response_Ivy;STAT1;T_cell_inflamed;TIS;TLS;C_ECM;EMT_Thompson;PTEN_loss;T_cell_exclusion;IRG_Yang;IMPRES;MPS
CRMA;MMP11;CD1A;LRR1;ACTA2;PPARG;B2M;PSMB5;BLK;RASGEF1B;ADAM17;CD8A;IL7R;PRF1;IDO1;ADAM21;CCL5;CD3D;KDM5A;CBLB;D68;CD274;GPR18;MOBKL2A;STAT1;CCL5;CD276;BCL6;TNXB;CDH1;ITGB7;ATIC;LEPR;BTLA;AKR1C3
MAGEA2;COL11A1;CD1B;RPS24;ACTG2;CYBB;CALR;PSMB6;CD19;CD83;CDK2;CD8B;GPR183;GZMA;CXCL10;ALDH1L2;CCR5;IDO1;RIOK1;CCR7;CD84;PDCD1LG2;HLA-DOA;IL21R;GBP1;CD27;HLA-DQA1;CD86;DPT;CDH3;CD79A;BTF3;PRLHR;VSIR;BMP1
MAGEA2B;C1QTNF3;CD1E;MASTL;ADAM12;COL3A1;NLRC5;PSMB7;FCRL2;DNAJB14;CDKN2A;CD3D;LMNA;;CXCL9;APBB2;CD274;CIITA;MVB12B;CD27;CD163;PDCD1;STAT1;RASSF4;IRF1;CD274;CD274;CXCR4;GPM6B;CLDN4;TRIB1;CHCHD2;NR2F2;CD200;CRTAC1
MAGEA3;CTHRC1;CLEC10A;DNAJC9;ADAM19;FOXP3;PSMB9;PSMB8;MA4A1;CCR7;DPP4;CD3E;NR4A3;;HLA-DRA;APOC2;CD3D;CD3E;HMCN1;CD48;MS4A4A;;;DOCK2;WARS;CD276;IDO1;LAMP3;MFAP4;EPCAM;CXCL10;EEF1G;PRL;CD200R1;ECEL1
MAGEA6;COL12A1;CLIC2;MRPL42;CNN1;LAG3;PSME1;PSMB9;TNFRSF17;KIAA1683;ERBB2;CD3G;TCF7;;STAT1;ARSF;CD3E;CCL5;FAM13C;FOXO1;;;;CD52;RARRES3;CD8A;HLA-DRB1;SELL;DCN;ST14;HLA-C;EIF3G;NRP1;CD27;ERC2
MAGEA12;COL10A1;WFDC21P;CDCA5;COL4A1;APP;PSME3;PSMB10;TCL1A;REL;HLA-DRA;;MGAT4A;;IFNG;ASAH2;CD8A;GZMK;PDE1A;FYB;;;;CD40LG;CXCL9;CMKLR1;HLA-E;CCR7;FBLN5;MAL2;PLEK;EIF3M;ANGPTL5;CD274;FAM110C
;COL5A2;;C1orf135;CTGF;CD81;RFX5;TAP1;SPIB;HSPH1;ICOS;;CD55;;;ASPM;CIITA;CD2;IKZF3;HLA-B;;;;ADCY7;GBP5;CXCL9;CMKLR1;CXCL13;JAM2;VIM;SDCBP;EIF4A1;IGF1;CD276;FUT9
;THBS2;;FAM83D;CTPS1;GPI;HSP90AB1;TAP2;PNOC;KDM6B;ITGA4;;AIM1;;;BIRC5;CTLA4;HLA-DRA;ANO3;HLA-G;;;;TCL1A;LAP3;CXCR6;PDCD1LG2;CCL21;MYH11;SNAI2;VNN2;ENO1;TNFRSF10B;CD28;GABRA2
;AEBP1;;MELK;FAM101B;PTGS2;;ERAP1;;BTG1;LARGE;;PER1;;;C6orf223;CXCL10;CXCL13;;IFIH1;;;;WAS;APOL3;HLA-DQA1;PSMB10;CCL19;ABI3BP;ZEB2;CSTB;EXOSC4;TNFRSF10A;CD40;GAP43
;LRRC15;;DLGAP5;FSTL3;CASP1;;ERAP2;;BCL11A;MYC;;FOSL2;;;CACNG1;CXCL11;IL2RG;;IKZF4;;;;TCIRG1;IDO1;HLA-DRB1;LAG3;;RECK;FN1;CD8A;FARSA;PLAU;CD80;GREM1
;ITGA11;;NOP16;HSPB1;FOS;;CANX;;NR4A2;NAB2;;EGR1;;;CCL18;CXCL13;NKG7;;LAMP3;;;;ARHGAP9;GBP4;HLA-E;CXCL9;;PDGFRA;MMP2;ANKRD22;GAPDH;IFI30;CD86;HECW1
;;;SNRPF;IGFBP3;MAPK1;;CALR;;TMEM2;NRAS;;TSPYL2;;;CD177;CXCL9;HLA-E;;NFKBIA;;;;RAC2;LAG3;IDO1;STAT1;;LAMA2;AGER;CD52;H19;;CEACAM1;KLHL1
;;;THOC4;PXDC1;MAPK3;;PDIA3;;C9orf72;RHOC;;YPEL5;;;CD244;GZMA;CXCR6;;SAMHD1;;;;SYK;CXCL10;LAG3;CD8A;;CYR61;;NCF1;HNRNPA1;;CTLA4;KRT12
;;;RRM2;SEMA7A;CREB1;;TAPBP;;DDX27;TGFB1;;CSRNP1;;;CDCA5;GZMB;TAGAP;;;;;;LCK;GZMA;NKG7;CCL5;;FGF2;;BHLHB3;LSM7;;HAVCR2;LHFPL4
;;;CCDC99;SH3PXD2A;;;B2M;;LY9;TIMP1;;REL;;;CDH1;HLA-DRA;CXCL10;;;;;;SH3BP1;PRF1;PDCD1LG2 ;NKG7;;COL4A6;;HSD17B14;MAGEA4;;IDO1;NEFL
;;;C13orf34;TAGLN;;;HLA-A;;NR4A1;;;SKIL;;;CEACAM6;HLA-DRB1;STAT1;;;;;;STAT2;IFNG;;TIGIT;;DDR2;;PARP10;MAGEC1;;IL2RB;NEFM
;;;UCK2;TGFBI;;;HLA-B;;PER1;;;PIK3R1;;;CILP2;HLA-E;GZMB;;;;;;TRV3J34;GBP2;;CD27;;ECM2;;BACE2;MDH2;;LAG3;NETO1
;;;ECE2;TNS1;;;HLA-C;;ARHGAP24;;;FOXP1;;;CLDN7;IDO1;;;;;;;IRF8;CCR5;;CXCR6;;COL14A 1;;IRF8;MKI67IP;;PDCD1;NKX2-2
;;;CENPW;TPM1;;;;;NR4A3;;;RGCC;;;CLNK;IL2RG;;;;;;;TRANK1;SLC31A2;;;;A2M;;GMPR;MLLT11;;PDCD1LG2;NSG2
;;;CKS2;;;;;;SKIL;;;PFKFB3;;;CORO7;ITGAL;;;;;;;APOBEC3H;APOL6;;;;COL4A3;;UPP1;MRPS24;;PVR;OCIAD2
;;;MSH6;;;;;;ZNF331;;;MYADM;;;CR2;LAG3;;;;;;;TRAT1;CXCL11;;;;FBLN1;;BIRC3;NACA;;NECTIN2;OTOP1
;;;MAD2L1;;;;;;GPR183;;;ZFP36L2;;;CRTAM;NKG7;;;;;;;SH2D3C;SERPINA1;;;;ITGA9;;PTPLA;NDUFB9;;TIGIT;PDE3B
;;;C12orf48;;;;;;CXCR4;;;USP36;;;CYTL1;PDCD1;;;;;;;DKFZp666C094;FCGR1B;;;;COL4A4;;SOX13;NME1;;TNFRSF14;PTPRN2
;;;DONSON;;;;;;PRDM2;;;TC2N;;;DHRS9;PRF1;;;;;;;DNASE1L3;TNFSF10;;;;CTGF;;ROPN1B;NREP;;TNFRSF18;PTPRT
;;;FOXM1;;;;;;TUBA1A;;;FAM177A1;;;DLK1;PTPRC;;;;;;;MIAT;GZMK;;;;FLRT2;;TBC1D7;RPL13AP5;;TNFRSF4;SIGLEC15
