gene;coef
ITGB7;-1
CD79A;-1
TRIB1;-1
CXCL10;-1
HLA-C;-1
PLEK;-1
SDCBP;-1
VNN2;-1
CSTB;-1
CD8A;-1
ANKRD22;-1
CD52;-1
NCF1;-1
BHLHB3;-1
HSD17B14;-1
PARP10;-1
BACE2;-1
IRF8;-1
GMPR;-1
UPP1;-1
BIRC3;-1
PTPLA;-1
SOX13;-1
ROPN1B;-1
TBC1D7;-1
CCL5;-1
SNCA;-1
BCL2A1;-1
SLC11A2;-1
NAPSB;-1
MAZ;-1
ISG20;-1
FBXW5;-1
TAPBP;-1
RAB32;-1
INPP4B;-1
SWAP70;-1
MICAL1;-1
PHF15;-1
BIRC7;-1
UBE2L6;-1
RARRES3;-1
LYN;-1
HCG4;-1
GSDMD;-1
RAC2;-1
SLC9A3R1;-1
RUNX3;-1
FAM69A;-1
FCRLA;-1
ST3GAL6;-1
IRF1;-1
ECHDC3;-1
CD38;-1
SIGIRR;-1
ROPN1;-1
FYB;-1
SNX10;-1
HCST;-1
HERC5;-1
OAS2;-1
MCOLN2;-1
APOE;-1
IFIH1;-1
SAT1;-1
RAB38;-1
CD79B;-1
SOD2;-1
GNPTAB;-1
PSMB9;-1
TMEM140;-1
GZMB;-1
HPS1;-1
RPS6KA5;-1
MFSD6;-1
PRKCB1;-1
QPCT;-1
IFI27;-1
RGS10;-1
GSTO1;-1
CXCL9;-1
NKG7;-1
PLXNC1;-1
RAB27A;-1
KAT2B;-1
SLC45A2;-1
ADAMDEC1;-1
HIGD1A;-1
IL18BP;-1
GPNMB;-1
PHACTR1;-1
CD3D;-1
FAM65B;-1
GBP5;-1
PARP9;-1
HLA-B;-1
LOC390557;-1
CD48;-1
HCP5;-1
HLA-F;-1
TRIM63;-1
PLA1A;-1
TYSND1;-1
CXCL13;-1
MGC13057;-1
CABLES1;-1
MCOLN3;-1
HRK;-1
OSTM1;-1
ASB9;-1
FAIM3;-1
VAT1;-1
ARL6IP5;-1
S100A1;-1
GYG2;-1
LY96;-1
CD44;-1
HLA-E;-1
FBXO6;-1
HLA-G;-1
MITF;-1
RTP4;-1
SERPINB1;-1
CBR3;-1
ST6GALNAC2;-1
MYO5A;-1
PSMB8;-1
PRKCD;-1
CEACAM1;-1
IRF4;-1
IFI35;-1
STX7;-1
TRPV2;-1
CHCHD6;-1
CASP1;-1
STAT1;-1
P2RX7;-1
LYST;-1
CAPN3;-1
MBP;-1
PIR;-1
TAP1;-1
LGALS3;-1
TNFRSF14;-1
WARS;-1
GPR56;-1
UBD;-1
RENBP;-1
D4S234E;-1
TYR;-1
SILV;-1
MLANA;-1
CADM1;1
DACT3;1
SLIT2;1
PCDH18;1
DIAPH3;1
C5orf13;1
EFNB2;1
LOC730994;1
HOXB5;1
MOXD1;1
PCDH17;1
PHLDB2;1
CDH2;1
DDAH1;1
POSTN;1
ID3;1
FAM46A;1
SBK1;1
UBE2E3;1
ERRFI1;1
NTM;1
PMEPA1;1
ANGPT1;1
PCOLCE;1
FZD1;1
PFTK1;1
SPRY2;1
CDK6;1
VCAN;1
DPYSL3;1
H19;1
TUSC3;1
EDNRA;1
FZD2;1
LMNB2;1
FLJ21986;1
ANTXR1;1
LOC100132901;1
PXDN;1
MLLT11;1
S1PR3;1
ATP2B1;1
CLIP3;1
RBBP4;1
SPON1;1
CBX2;1
HOXA5;1
LPHN2;1
DKK3;1
LOC100134134;1
IGFBP2;1
LOX;1
FOXC1;1
PAM;1
LIMCH1;1
CPXM1;1
ZNF286C;1
LOC730525;1
LAMB1;1
KLF12;1
LOC730101;1
BCAT1;1
UBA52;1
ZNF84;1
LOC100131139;1
TSPAN5;1
TMTC4;1
TCF12;1
AUTS2;1
ID1;1
TRIL;1
KDM5B;1
OLFML2A;1
LOC653344;1
LRP5;1
EFEMP2;1
ZNF512;1
EXTL2;1
KDELC1;1
GPC6;1
TRO;1
TMEM47;1
LOC100133760;1
RBP1;1
RCAN2;1
ZNF395;1
COL8A1;1
LOC645166;1
TLE4;1
RGS4;1
ENC1;1
SOX4;1
PEG10;1
LAMC1;1
PKIA;1
CNPY4;1
CENPV;1
LOC728732;1
SSFA2;1
FSCN1;1
MEIS2;1
TCF3;1
SOCS2;1
ZNF532;1
NR4A2;1
SKP2;1
STK32B;1
COL16A1;1
TMSB15A;1
SALL2;1
SYT11;1
SMA4;1
COL5A1;1
ITGB5;1
ESM1;1
ENAH;1
COL12A1;1
LOC645385;1
PRDM8;1
EMILIN1;1
PRICKLE1;1
COL5A2;1
CPE;1
SDC2;1
HNRPA1L_2;1
PRICKLE2;1
SPRY1;1
