gene	coef	se	pval	I2	I2_pval	fdr
A1BG	0.00279478783189679	0.0841618425696372	0.973509274150416	0	0.997783226767333	0.999882152897227
A2M	0.046983949471466	0.0804704092878101	0.559310356937608	0.176477263551136	0.251560050568261	0.998342592316123
A4GALT	0.110444824184816	0.0890073211281325	0.214660793815085	0.0214170349394285	0.42714239836182	0.998342592316123
AAAS	0.00528409519885477	0.0828359233460893	0.949137521164578	0	0.622461359622934	0.999882152897227
AACS	-0.041008846122211	0.0831068350908801	0.621696544767097	0	0.795905766956597	0.998342592316123
AADAC	0.0169979358923582	0.0888362381871199	0.848259135629886	0	0.702625261145469	0.998342592316123
AADAT	0.174536900257185	0.0842314408713325	0.0382550851009935	0	0.800044970296206	0.959575465214476
AAGAB	-0.0323016589697092	0.08010079767581	0.686755024178117	0	0.688768336630879	0.998342592316123
AAK1	-0.0650602384201262	0.0826126180532904	0.430969383709142	0.0483961159883016	0.398120605665471	0.998342592316123
AAMDC	0.0619521300539708	0.0860169035486213	0.471382138902454	0	0.91278893639435	0.998342592316123
AAMP	-0.0690421112250774	0.0820733257388849	0.400222049253291	0	0.920726804993708	0.998342592316123
AAR2	-0.0579771444496226	0.0825745461402601	0.482605054757367	0.0533992136780764	0.39267565442259	0.998342592316123
AARS2	-0.0615438275210844	0.0829588418255523	0.458172301066144	0	0.583530743324143	0.998342592316123
AARSD1	0.0413428009107318	0.088136408118943	0.639014282203266	0.00592153321981168	0.443516677754757	0.998342592316123
AASDH	-0.040753970208774	0.0847556277785418	0.630629597035096	0	0.684561201181662	0.998342592316123
AASDHPPT	-0.0387479127949037	0.0802640528372306	0.629269352380269	0	0.901358801449075	0.998342592316123
AASS	0.042821288772794	0.0849723900467347	0.61430103870539	0.149044498938096	0.286551741008711	0.998342592316123
AATK	-0.0898103809422769	0.111560826136562	0.420799424555405	0.291028784521503	0.138324407793043	0.998342592316123
ABAT	0.0382377263170495	0.0832046821187829	0.645830500337582	0.00241089071448455	0.447193430946156	0.998342592316123
ABCA1	-0.0408791328178221	0.08228053758412	0.619311566287715	0	0.66303926631252	0.998342592316123
